mode,load,0_inception_v3-2,1_resnet152-2,2_vgg13-8
mps-uncap,0.8,164.25728797912598,248.4591007232666,167.61159896850586
mps-uncap,0.9,210.91556549072266,2299.4437217712402,999.267578125
mps-uncap,1.0,3459.463119506836,705.7030200958252,6366.072177886963
mps-uncap,0.5,62.917232513427734,64.21494483947754,40.92741012573242
mps-uncap,0.6,70.69873809814453,87.62049674987793,68.87245178222656
mps-uncap,0.7,113.57235908508301,173.04658889770508,96.80867195129395
mps-uncap,0.1,38.57827186584473,47.76716232299805,18.874645233154297
mps-uncap,0.2,45.18532752990723,55.47046661376953,20.220518112182617
mps-uncap,0.3,46.55909538269043,56.12802505493164,26.217937469482422
mps-uncap,0.4,47.29461669921875,59.11517143249512,27.301311492919922
