mode,load,0_mobilenet_v2-32,1_vgg16-16,2_vgg16-16
mps-uncap,0.8,40.11906623840332,22.263941764831543,22.628097534179688
mps-uncap,0.9,40.52133083343505,22.85218000411987,22.691786289215088
mps-uncap,1.0,41.28674030303955,22.876596450805664,23.700289726257324
mps-uncap,0.5,32.919359207153306,20.687735080718994,20.316987037658695
mps-uncap,0.6,35.726547241210945,21.27893924713135,21.502971649169922
mps-uncap,0.7,39.429891109466546,22.27275848388672,21.869106292724613
mps-uncap,0.1,15.475087165832527,16.670591831207272,16.724932193756104
mps-uncap,0.2,19.33161735534668,17.0280361175537,17.953019142150893
mps-uncap,0.3,26.839680671691884,19.793581962585446,19.89362239837647
mps-uncap,0.4,34.49737548828125,20.546793937683105,20.708103179931637
