mode,load,0_vgg13-32,1_vgg19-32,2_resnet34-2
mps-uncap,0.6,109.7409725189209,72.53503799438477,429.5387268066406
mig,0.6,242.48504638671875,329.21862602233887,28.00917625427246
mps-uncap,0.7,107.06806182861328,71.7165470123291,9474.708557128906
mig,0.7,231.94026947021484,464.86639976501465,55.059194564819336
mps-uncap,0.8,152.7395248413086,127.87556648254395,26344.390630722046
mig,0.8,293.9469814300537,1079.601526260376,57.60669708251953
mps-uncap,0.9,258.98098945617676,178.95174026489258,41992.50054359436
mig,0.9,597.5923538208008,735.0130081176758,113.68703842163086
mps-uncap,1.0,208.07456970214844,208.00471305847168,55159.526109695435
mig,1.0,3040.1456356048584,2955.2202224731445,756.0455799102783
mps-uncap,1.1,469.7239398956299,294.4462299346924,65842.7722454071
mig,1.1,9525.965690612793,6950.172662734985,6713.2248878479
mps-uncap,1.2,616.0025596618652,382.02595710754395,73820.29271125793
mig,1.2,16840.33203125,16424.696683883667,15178.974866867065
mps-uncap,1.3,1149.6834754943848,365.2970790863037,80675.69637298584
mig,1.3,20552.531480789185,19865.898609161377,18390.277862548828
